Internal Accession Code,Specific Epiphet,Genus,Species,Author,Variety,Subspecies,Cultivar,Botanical Synonyms,Common Name,Pinyin (Plant Name),Mandarin (Plant Name),Pinyin (Medicinal Material),Pharmaceutical Name,MPNS Link,FOC Link,Kew POW Link,Mandarin (Medicinal Material),Plant Family,Plant Class,Aquatic or Terrestrial,Growth Habit,Deciduous/ Evergreen,Lifecycle,Plant Classification,Reproductive Morphology,Flowering Period,Fruiting Period,Habitat,Plant Origin (province/ region),Endemic,Range/ Distribution,Range in China,Worldwide Conservation Status (IUCN Red List),National Conservation Status (China),Protected Status,Invasive?,Invasive Range,,Pharmacopoeia or Substitute Species?,Plant Part Used,Medicinal Material,Harvesting Time,Primary Processing,Secondary Processing,Plant under Cultivation?,Cultivation Regions,Wild-Harvesting Regions,Production Regions,Harvesting Practice,Daodi Status,Daodi Regions,Taste,Energy Flow,Meridian,TCM Properties,Medicinal/ Pharmacological Properties,Indications,Toxicity,Secondary Metabolites,Folk Medicinal Uses,Other Cultural Uses,Ornamental,,IUCN Red List Link,Species+ Link
ABRMEL-HER-1,Abrus melanospermus subsp. melanospermus,Abrus,melanospermus,,,melanospermus,,Abrus cantoniensis,Canton Abrus,guang zhou xiang si zi,广州相思子,Ji Gu Cao,Herba Abri,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=3240347&query=abrus+melanospermus+subsp.+melanospermus&filter=&fuzzy=false&nameType=all&dbs=wcs,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242300152,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77213992-1,雞骨草,Fabaceae,,Terrestrial,Liana,,Perennial,Vascular,Monoecious,August,October,Forests and hillsides (about 200 m. altitude),,No,,"Hunan, Guangxi, Guangdong, Hong Kong, Hainan",Not evaluated,Least concern,,,,,,Whole herb (seed pods removed),Abri Herba,Year-round,"Seed-pods are removed, the herb is cleaned of contaminants, wrapped with rattan leaves, tied into handlebars, and sundried",,,"Guangdong, Guangxi",,,,,,"Sweet, bitter",Slightly cold,"Liver, spleen, bladder","Clears heat, resolves toxins, cools the liver, ",,"Hepatitis, epigastric pain, scrofula",Seeds are toxic,"Abrine, choline",,,,,-,-
ACHASP-RAD-1,Achyranthes aspera L.,Achyranthes,aspera,L.,,,,,"Common Achyranthes, Chaff Flower, Devil's Horsewhip",tu niu xi,土牛膝,Tu Niu Xi,Radix Achyranthes Longifolia,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2617475&query=Achyranthes+aspera%C2%A0L.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200006961,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2468-2#children,土牛膝,Amaranthaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,"June, July, August",October,"Hillsides, forests, meadows, roadsides, riverbanks (800-2300 m. altitude)",,No,,"Fujian, Guangdong, Guangxi, Guizhou, Hainan, Hubei, Hunan, Jiangxi, Sichuan, Taiwan, Yunnan, Zhejiang",Not evaluated,Least concern,,Yes,,,,Root,Radix Achyranthes Longifolia,,,,,,,,,,,,,,,,,,,,,,,-,-
ACHBID-RAD-1,Achyranthes bidentata Blume,Achyranthes,bidentata,Blume,,,,,,niu xi,牛膝,Niu Xi,Achyranthis Bidentata Radix,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2617516&query=Achyranthes+bidentata+Blume&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200006965,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:58678-1,牛膝,Amaranthaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,,July-September,September-October,"Moist shaded soil near mountains or streams, hillsides (between 200-1800 m altitude)",China,Yes (var. villosa),"China, Bhutan, Indonesia, India, Japan, Korea, Laos, Malaysia, Myanmar, Nepal, New Guinea, Philippines, Russia, Sikkim, Thailand, Vietnam, Africa","(Western, Central, Southern China) Anhui, Fujian, Hebei, Hubei, Hunan, Guangxi, Guizhou, Jiangsu, Shaanxi, Shanxi, Sichuan, Taiwan, Tibet, Zhejiang",Not evaluated,Least concern,,Yes,USA,,Pharmacopoeia,Root,Achyranthis Bidentata Radix,,,,Yes,"Hebei, Henan",,,Cultivated,Yes,"Henan (Bo'ai, Huixian, Qinyang, Wenxian, Wuzhi, Yixian districts)","Bitter, sour",Neutral,"Liver, kidney","Tonify liver and kidney, invigorate blood, dispel blood stasis","Blood-activating, anti-tumor, anti-inflammatory","Amenorrhea, gynaecological disorders, dysuria, chronic and acute muscoskeletal pain",Safety class 2b,,Traditional abortifacient in China,"Official healthfood in China, ",,,,
ACHLON-RAD-1,Achyranthes longifolia (Makino) Makino,Achyranthes,longifolia,(Makino) Makino,,,,Achyranthes bidentata var. longifolia,,liu ye niu xi,柳叶牛膝,Tu Niu Xi,Radix Achyranthes Longifolia,,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200006968,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:58795-1,,Amaranthaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,September-November,September-November,"Hillsides, valleys, near villages (below 1200 m. altitude)",,No,,"Guangdong, Guizhou, Hubei, Hunan, Jiangxi, Shaanxi, Sichuan, Taiwan, Yunnan, Zhejiang",Not evaluated,Least concern,,,,,,Root,Radix Achyranthes Longifolia,"Summer, autumn",Sun-dried,,,,,,,,,Bitter,Neutral,,Tonifies liver and kidney,,"Lumbar, knee pain",,,,,,,-,-
ACOCAR-RAD-1,Aconitum carmichaelii Debeaux,Aconitum,carmichaelii,Debeaux,,,,,"Common Monkshood, Carmichael's Monkshood, Chinese Aconite",wu tou,乌头,Fu Zi,Aconiti Radix Praeparata,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2618501&query=Aconitum+carmichaelii+Debeaux&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242000008,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707241-1,附子,Ranunculaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,June-July,July-August,Grassy mountain slopes,China,"Yes (var. hwangshanicum, pubescens, tripartitum, truppelianum)","China, Vietnam","Guangdong, Guangxi, Yunnan, Guizhou, Sichuan, Hubei, Hunan, Jiangxi, Zhejiang, Jiangsu, Anhui, Shaanxi, Henan, Shandong, Liaoning",Not evaluated,Least concern,,No,,,Pharmacopoeia,Lateral roots,Aconiti Radix Praeparata,,Secondary,,Yes,"Sichuan, Hubei, Hunan",,,Cultivated,,,Pungent,Warm,"Heart, liver, spleen, kidney","Clears pathogenic wind and cold, dispels dampness","Cardiotonic, anti-tumor, analgesic, anti-inflammatory","Rheumatic arthritis, hemiplegia, sciatica, hand and foot spasms",Toxic,,,Ornamental,Y,,,
,Aconitum carmichaelii Debeaux,Aconitum,carmichaelii,Debeaux,,,,,"Common Monkshood, Carmichael's Monkshood, Chinese Aconite",wu tou,乌头,Wu Tou,Aconiti Radix Praeparata,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2618501&query=Aconitum+carmichaelii+Debeaux&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242000008,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707241-1,烏頭,Ranunculaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,June-July,July-August,Grassy mountain slopes,China,"Yes (var. hwangshanicum, pubescens, tripartitum, truppelianum)","China, Vietnam","Guangdong, Guangxi, Yunnan, Guizhou, Sichuan, Hubei, Hunan, Jiangxi, Zhejiang, Jiangsu, Anhui, Shaanxi, Henan, Shandong, Liaoning",Not evaluated,Least concern,,No,,,Pharmacopoeia,Main root,Aconiti Radix Praeparata,,,,Yes,"Sichuan, Hubei, Hunan",,,Cultivated,,,Pungent,Warm,,"Clears pathogenic wind and cold, dispels dampness","Cardiotonic, anti-tumor, analgesic, anti-inflammatory","Rheumatic arthritis, hemiplegia, sciatica, hand and foot spasms",Toxic,,,Ornamental,Y,,,
ACOCAR-RAD-2,Aconitum carmichaelii Debeaux,Aconitum,carmichaelii,Debeaux,,,,,"Common Monkshood, Carmichael's Monkshood, Chinese Aconite",wu tou,乌头,Zhi Chuan Wu,Radix Aconiti Preparata,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2618501&query=Aconitum+carmichaelii%C2%A0Debeaux&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242000008,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707241-1,製川烏,Ranunculaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,June-July,July-August,"Mountains, forest margins, scrub, grassy slopes (100-2200 m. altitude)",,"Yes (var. hwangshanicum, pubescens, tripartitum, truppelianum; not var. angustitus, carmichaelii)","China, Vietnam","Anhui, Fujian, SE Gansu, N Guangdong, N Guangxi, Guizhou, Hebei, S Henan, W Hubei, Hunan, Jiangsu, Jiangxi, S Liaoning, Inner Mongolia, S and SW Shaanxi, Shandong, Shanxi, Sichuan, Yunnan, Zhejiang",Not evaluated,Least concern,,,,,Pharmacopoeia,Mother root,Radix Aconiti Preparata,Start of June to early August,"Mother root separated from daughter roots, rootlets and dirt removed, sun-dried",,,"Sichuan, Shaanxi",,,,,,"Pungent, bitter",Hot,"Heart, liver, spleen, kidney","Clears pathogenic wind-cold, dispels dampness, stops pain",,"Rheumatic arthritis, rheumatoid arthritis, sciatica",Very toxic,Aconitine,,Ornamental,Y,,-,-
ACOCAR-RAD-3,Aconitum carmichaelii Debeaux,Aconitum,carmichaelii,Debeaux,,,,,"Common Monkshood, Carmichael's Monkshood, Chinese Aconite",wu tou,乌头,Zhi Fu Zi,Radix Aconiti Lateralis Preparata,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2618501&query=Aconitum+carmichaelii%C2%A0Debeaux&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242000008,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707241-1,制附子,Ranunculaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,June-July,July-August,"Mountains, forest margins, scrub, grassy slopes (100-2200 m altitude)",,"Yes (var. hwangshanicum, pubescens, tripartitum, truppelianum; not var. angustitus, carmichaelii)","China, Vietnam","Anhui, Fujian, SE Gansu, N Guangdong, N Guangxi, Guizhou, Hebei, S Henan, W Hubei, Hunan, Jiangsu, Jiangxi, S Liaoning, Mongolia, S and SW Shaanxi, Shandong, Shanxi, Sichuan, Yunnan, Zhejiang",Not evaluated,Least concern,,,,,Pharmacopoeia,Root,Radix Aconiti Lateralis Preparata,Late June to early August,"Mother root separated from daughter roots, rootlets and dirt removed, sun-dried",,,"Sichuan, Shaanxi",,,,,,Acrid,Hot,"Heart, kidney, spleen","Revives yang qi, tonifies kidney yang, expels cold damp obstruction",,"Diarrhea, chills, cold extremities",Toxic,Aconitine,,Ornamental,Y,,-,-
ACOKUS-RAD-1,Aconitum kusnezoffii Rchb.,Aconitum,kusnezoffii,Rchb.,,,,,Kusnezoff Monkshood,bei wu tou,北乌头,Zhi Cao Wu,Radix Aconiti Kusnezoffii Preparata,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2618937&query=Aconitum+kusnezoffii%C2%A0Rchb.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200007241,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707505-1,制草乌,Ranunculaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,July-September,,"Grasslands, forests, forest margins, besides streams (2000-2400 m)",,"Yes (var. crispulum, gibbiferum; not var. kusnezoffii)","China, Korea, Russia","Hebei, Heilongjiang, Jilin, Liaoning, Inner Mongolia, Shanxi",Not evaluated,Least concern,,,,,Pharmacopoeia,Root,Radix Aconiti Kusnezoffii Preparata,Autumn,"Roots are cleaned of rootlets and dirt, and dried",,,,,,,,,"Acrid, bitter",Hot,"Liver, spleen, kidney","Disperses cold, dispels wind, relieves pain, clears dampness",,"Hemiplegia, scrofula, ulcerations",Toxic,Aconitine,,,,,-,-
ACOCAL-RHI-1,Acorus calamus L.,Acorus,calamus,L.,,,,,Sweet Flag,chang pu,菖蒲,Zang Chang Pu,Rhizoma Acori Calami,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2304&query=Acorus+calamus%C2%A0L.&filter=&fuzzy=false&nameType=all&dbs=wcs,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200027130,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:84009-1,藏菖蒲,Acoraceae,,Aquatic,Herbaceous,,Perennial,Vascular,Monoecious,June-September,,"Swamps, wetlands, pond edges, standing water (below 2800 m. altitude)",,No,,,Least concern,Data deficient,,,,,,Rhizome,Rhizoma Acori Calami,"Autumn, winter",Sun-dried,,,,,,,,,"Pungent, bitter",Warm,"Heart, stomach","Opens orifices, resolves phlegm",,"Chronic tracheitis, dysentery, abdominal distension, loss of appetite",,,,,,,https://www.iucnredlist.org/species/168639/43116307,-
